,sequence_length,forecast_horizon,hidden_size,num_layers,num_epochs,batch_size,learning_rate,training_size,skiprows,RMSE
0,30,1,10,2,50,16,0.001,0.9,253,8.803183566083606
1,30,1,10,2,100,16,0.001,0.9,253,3.1955986832004655
2,30,1,10,5,50,16,0.001,0.9,253,5.675777898957685
3,30,1,10,5,100,16,0.001,0.9,253,5.3260464807448775
4,30,1,15,2,50,16,0.001,0.9,253,8.95743518399288
5,30,1,15,2,100,16,0.001,0.9,253,4.639053449695586
6,30,1,15,5,50,16,0.001,0.9,253,5.267058059144384
7,30,1,15,5,100,16,0.001,0.9,253,5.096396422084757
8,30,1,20,2,50,16,0.001,0.9,253,4.2824938492488185
9,30,1,20,2,100,16,0.001,0.9,253,3.3415365295315618
10,30,1,20,5,50,16,0.001,0.9,253,6.305801094356334
11,30,1,20,5,100,16,0.001,0.9,253,4.578173869235437
