datetime,date,title,source,link,top_sentiment,sentiment_score
11/5/2024 2:57:21 PM,2024-11-05,"Chip roundup: GlobalFoundries, Astera Lab rise on earnings; Cirrus Logic, Navitas fall",Seeking Alpha,https://seekingalpha.com/news/4248708-chip-roundup-globalfoundries-astera-lab-rise-on-earnings-cirrus-logic-navitas-fall?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,positive,0.9024745225906372
11/4/2024 1:32:00 PM,2024-11-04,Schwab Trading Activity Index edges up in October as clients become net buyers,Seeking Alpha,https://seekingalpha.com/news/4235706-schwab-trading-activity-index-edges-up-in-october-as-clients-become-net-buyers?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,positive,0.9134030938148499
11/4/2024 10:46:00 AM,2024-11-04,"House Speaker Johnson says GOP may try to repeal CHIPS Act, AP reports",TipRanks,/news/stocks/house-speaker-johnson-says-gop-may-try-to-repeal-chips-act-ap-reports-1033944033,neutral,0.7264169454574585
11/1/2024 12:25:51 PM,2024-11-01,Intel's results were better than feared. Wall Street says it's not out of the woods yet.,Seeking Alpha,https://seekingalpha.com/news/4233290-intel-jumps-wall-street-results-were-better-than-feared?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,positive,0.7762575149536133
11/1/2024 9:25:20 AM,2024-11-01,"AMD, Fujitsu sign MOU to form AI computing platforms partnership",TipRanks,/news/stocks/amd-fujitsu-sign-mou-to-form-ai-computing-platforms-partnership-1033936121,neutral,0.87742680311203
11/1/2024 6:01:12 AM,2024-11-01,AMD’s Acquisition of ZT Systems: Navigating Regulatory Hurdles and Strategic Risks,TipRanks,/news/stocks/amd-s-acquisition-of-zt-systems-navigating-regulatory-hurdles-and-strategic-risks-1033935116,neutral,0.8048698306083679
10/31/2024 8:44:09 PM,2024-10-31,Intel just reported Q3 results. Here's why the stock is rising.,Seeking Alpha,https://seekingalpha.com/news/4229313-intel-q3-results-why-the-stock-rising?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,neutral,0.7521953582763672
10/31/2024 3:46:34 PM,2024-10-31,Nvidia remains AI king as Super Micro tagged along for wild ride,Seeking Alpha,https://seekingalpha.com/news/4229315-nvidia-remains-ai-king-as-super-micro-tagged-along-for-wild-ride?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,positive,0.46143364906311035
10/31/2024 2:00:00 PM,2024-10-31,The Gaming Legend Continues — AMD Introduces Next-Generation AMD Ryzen 7 9800X3D Processor,GlobeNewswire,/news/stocks/the-gaming-legend-continues-amd-introduces-next-generation-amd-ryzen-7-9800x3d-processor-1033928031,neutral,0.6525542140007019
10/31/2024 1:11:19 PM,2024-10-31,AMD introduces AMD Ryzen 7 9800X3D Desktop processor,TipRanks,/news/stocks/amd-introduces-amd-ryzen-7-9800x3d-desktop-processor-1033930015,neutral,0.8874933123588562
10/31/2024 12:55:30 PM,2024-10-31,Notable open interest changes for October 31st,TipRanks,/news/stocks/notable-open-interest-changes-for-october-31st-1033929896,neutral,0.9156593680381775
10/30/2024 9:12:01 PM,2024-10-30,Stock market today: Indexes slide as chipmaker rout drags tech ahead of key earnings,Business Insider,/news/stocks/stock-market-today-indexes-chipmakers-tech-earnings-gdp-fed-rates-2024-10,negative,0.9672231078147888
10/30/2024 7:52:01 PM,2024-10-30,AMD CEO Lisa Su says GPU and CPU sales are nearly equal. Wall Street thinks that's not enough.,Business Insider,https://www.businessinsider.com/amd-gpu-cpu-ai-data-center-boom-2024-10,neutral,0.43171456456184387
10/30/2024 7:36:02 PM,2024-10-30,AMD still has a gap to close with Nvidia's AI chips,Business Insider,https://www.businessinsider.com/amd-earnings-q3-2024-ceo-lisa-su-nvidia-ai-chips-2024-10,neutral,0.4748418927192688
10/30/2024 5:16:01 PM,2024-10-30,Chipmakers are having a terrible day in the stock market,Business Insider,/news/stocks/chipmakers-amd-smci-super-micro-stock-auditor-earnings-report-guidance-2024-10,negative,0.9615809321403503
10/30/2024 5:05:11 PM,2024-10-30,Cody Acree Reaffirms Buy Rating on AMD Amidst Strong AI and Data Center Growth Prospects,TipRanks,/news/stocks/cody-acree-reaffirms-buy-rating-on-amd-amidst-strong-ai-and-data-center-growth-prospects-1033920619,positive,0.9555522799491882
10/30/2024 4:15:41 PM,2024-10-30,"Alphabet, AMD report Q3 earnings beats: Morning Buzz",TipRanks,/news/stocks/alphabet-amd-report-q3-earnings-beats-morning-buzz-1033920421,neutral,0.8454449772834778
10/30/2024 3:00:22 PM,2024-10-30,Supermicro plunges after auditor exits on unwillingness to back statements,TipRanks,/news/stocks/supermicro-plunges-after-auditor-exits-on-unwillingness-to-back-statements-1033920219,negative,0.9505478143692017
10/30/2024 2:15:22 PM,2024-10-30,"Biggest stock movers Wednesday: SMCI, LLY, GOOG, SNAP, and more",Seeking Alpha,https://seekingalpha.com/news/4221935-biggest-stock-movers-wednesday-goog-snap-and-more?utm_source=businessinsider&utm_medium=referral&feed_item_type=news,neutral,0.9198371767997742
