Stock,Headline,Content,URL,Sentiment,Confidence
AMZN,"Amazon to reportedly cut cloud, store tech employees",Content not available,https://chainstoreage.com/amazon-reportedly-cut-cloud-store-tech-employees,1 star,0.6041345000267029
AMZN,Amazon is laying off hundreds employees in its cloud division,Content not available,https://qz.com/amazon-layoff-hundreds-tech-sales-marketing-employees-1851385063,1 star,0.6041345000267029
AMZN,Amazon Cuts Hundreds of Jobs in Cloud-Computing Business,"Amazon Web Services said it planned to eliminate several hundred jobs in sales, marketing and global services, and would cut hundreds more from its physical stores technology team.
Continue reading",https://finance.yahoo.com/m/7d177e07-9d0a-3577-b6bf-47eb4d32d36e/amazon-cuts-hundreds-of-jobs.html,1 star,0.3331334888935089
AMZN,"The good, bad, and ugly of Big Tech's first quarter","The tech industry had a wild first quarter. From Nvidia’s (NVDA) stock price continuing to rocket higher and higher to Google’s (GOOG, GOOGL) botched launch of its Gemini image generator and Apple’s antitrust battle, the first three months of the year were full of highs, lows, and, well, even lower lows.
The quarter was also full of surprises. Meta (META) announced its first dividend payment and a larger stock buyback program and Apple (AAPL), according to Bloomberg, decided to kill its long-gestating car program, putting an end to an effort that would have catapulted the company into the automotive industry.
Speaking of autos, EVs took it on the chin as sales fell off a cliff. And the Federal Trade Commission (FTC) and the European Union’s European Commission began sniffing around companies’ AI investments and more.
Oh, and did I mention Congress has revived efforts to ban TikTok in the US? Yes, it’s been a busy three months. And we still have nine more to go. These are the good, the bad, and the ugly stories of the first quarter of 2024.
The good
Let’s kick things off with the good news for the tech industry in the first quarter. First up is Nvidia, which continues to dominate the AI conversation. In February, the company announced another monster quarter, blowing past Wall Street’s expectations on revenue and earnings and beating out anticipated revenue for the current quarter.
Shares of Nvidia are up some 89% year to date and 226% over the last 12 months. And in March, the company debuted its new Blackwell AI processor architecture during its GTC conference, which felt more like a party than a developer event.
Also this quarter, Intel and the White House announced that the chipmaker is getting $8.5 billion in CHIPS Act funding to help build out its chip manufacturing and research and development facilities at plants across the US.
Nvidia's founder and CEO Jensen Huang speaks during the annual Nvidia GTC Artificial Intelligence Conference at SAP Center in San Jose, Calif., on March 18, 2024. (Josh Edelson/AFP via Getty Images) (JOSH EDELSON via Getty Images)
The cash from the CHIPS Act is meant to revitalize the US semiconductor industry, and with Intel starting to build chips for third-party companies like Microsoft, it should benefit handsomely from the funding.
Story continues",https://finance.yahoo.com/news/the-good-bad-and-ugly-of-big-techs-first-quarter-175716939.html,1 star,0.3759395480155945
AMZN,"Amazon Deals Another Blow to Already Beaten Down Office Market, Breaking Leases to Cut $1.3 Billion in Expenses","Amazon (NASDAQ:AMZN) is reportedly looking to reduce its office vacancies and save $1.3 billion in the process by letting leases expire, negotiating early terminations, and ending the use of some floors in its current offices, according to Business Insider (BI), which cited a source familiar with that matter and internal documents obtained by BI.
The news comes as the commercial real estate market has already taken a beating over the last couple of years. It has faced significant challenges since the Covid-19 pandemic, which ignited the widespread adoption of remote work arrangements. With many companies transitioning to remote work models, the demand for office space has plummeted, leading to high vacancy rates in urban centers and traditional business districts.
Don't Miss:
Investing in real estate just got a whole lot simpler. This Jeff Bezos-backed startup will allow you to become a landlord in just 10 minutes, and you only need $100.
Elon Musk Is Bullish On Austin. Here’s How To Invest In The City’s Growth Before He Floods It With New Tech Workers.
Companies are constantly reevaluating their real estate needs and exploring flexible options such as co-working spaces or reducing their office footprint altogether, which doesn't bode well for the commercial real estate market in the years ahead.
The trend in commercial real estate led to Fed Chair Jerome Powell saying, ""There will be more bank failures,"" because ""Banks will have made loans to many of those buildings,"" which have many empty offices. ""We have identified the banks that have high commercial real estate concentration and we are in dialogue with them,"" he added.
Read Next:
Want To Grow Your Wealth Passively? These High-Yield Real Estate Notes Might Be Your Holy Grail.
3 High-Yield Investments To Boost Your Portfolio's Income
Collecting passive income from real estate just got a whole lot simpler. A new real estate fund backed by Dara Khosrowshahi gives you instant access to a diversified portfolio of rental properties, and you only need $100 to get started.
Story continues",https://finance.yahoo.com/news/amazon-deals-another-blow-already-175031868.html,1 star,0.3741077482700348
AMZN,How big was Amazon's Big Spring Sale?,Content not available,https://chainstoreage.com/how-big-was-amazons-big-spring-sale,1 star,0.6041345000267029
AMZN,Amazon is cutting hundreds of jobs in its cloud computing unit AWS,"Amazon said Wednesday it's cutting hundreds of jobs in its cloud computing unit AWS as part of a strategic shift.
The company will trim “a few hundred roles” in the team that overlooks technology for physical stores, a move that comes just a day after Amazon said it was ditching Just Walk Out technology in its U.S. grocery stores.
In addition to the physical stores technology team, Amazon said it’s cutting “several hundred roles” in the AWS sales, marketing and global service organization. Most of those cuts are related to business changes in AWS training and certification programs as well as sales operations. The tech giant said it was also making cuts elsewhere so it can invest in other business priorities.
“These decisions are difficult but necessary as we continue to invest, hire, and optimize resources to deliver innovation for our customers,” Amazon spokesperson Duncan Neasham said in a statement.
The AWS layoffs follow other layoffs that happened at Amazon and its subsidiaries this year. In January, the company cut several hundred positions across its Prime Video and MGM Studios unit. That same month, Twitch, the popular social media platform owned by Amazon, laid off more than 500 jobs in a bid to save on costs. The online audiobook and podcast service Audible also laid off about 5% of its workforce.
Amazon says it will continue to hire in priority areas. The company currently has thousands of AWS job openings posted online. It says it will try to find internal opportunities for employees whose roles are impacted.",https://finance.yahoo.com/news/amazon-cutting-hundreds-jobs-cloud-152552547.html,1 star,0.409060537815094
AMZN,The two best-positioned megacap tech stocks in 2024: Analyst,"Amazon (AMZN) and Meta Platforms (META) were among the tech stock leaders who drove growth in the S&P 500 (^GSPC) throughout 2024's first quarter. The two Magnificent Seven members are Wells Fargo Senior Analyst Ken Gawrelski's top stock picks for the tech sector.
Amazon is ""making many fundamental improvements in logistics capabilities and efficiencies. So, we expect margins to continue to inflect higher in the retail business,"" Gawrelski tells Yahoo Finance. ""The second business, which is AWS [Amazon Web Services], their cloud business, that was also an inflection in 2023, but that inflection was there after a steep decline of growth from 2022 to 2023.""
For more expert insight and the latest market action, click here to watch this full episode of Morning Brief.
Editor's note: This article was written by Luke Carberry Mogan.
Video Transcript
- Megacap tech names like Google, Meta, NVIDIA, Microsoft, Amazon drop 43% of the S&P 500 gains in the first quarter of this year. This is according to Yahoo Finance calculations. So we're seeing a bit of a reversal here at the start of April. Can they keep up that momentum through the second quarter? Doesn't look like it so far.
We want to bring in Ken Gawrelski. He's a Wells Fargo senior analyst. Ken, let's just take a step back. What is your outlook here when it comes to big tech following that massive run up that we saw not only in the first quarter, but going back to what we saw in 2023?
KEN GAWRELSKI: Right. Thank you so much for having me. So we're certainly most positive on Amazon of the big three. But we also recommend Meta. And we see really strong fundamental trends here.
And I would say there are certainly pockets of the market where valuations look a bit stretched. But I would say that's not so much the case in these three. But we prefer the fundamentals certainly in Amazon, our top pick, and Meta relative to Google.
- Ken, I wonder in how you're looking across some of the themes that were really drivers for the largest names in tech, where those themes either remain strong or w you're starting to see some weakness.
Story continues",https://finance.yahoo.com/video/two-best-positioned-megacap-tech-152233670.html,4 stars,0.2434340864419937
AMZN,Amazon Layoffs 2024: What to Know About the Latest AWS Job Cuts,Content not available,https://investorplace.com/2024/04/amazon-layoffs-2024-what-to-know-about-the-latest-aws-job-cuts/,1 star,0.6041345000267029
AMZN,Costco offering members access to weight-loss programs including medication,"April 3 (Reuters) - Costco Wholesale will offer its members access to weight-loss programs, including prescription drugs Ozempic and Wegovy, from online healthcare services provider Sesame, as the companies expanded their partnership.
The wholesale retailer's members can subscribe to Sesame's weight-loss program for $179 for three months, compared with $195 for non-members, Sesame said in a blog post on Tuesday.
Under the program, a clinician would help the patients with diet, exercise and lifestyle modifications, and may subscribe medications, subject to availability, the blog post said.
The subscription does not cover costs of medication or lab work. The clinicians will work with eligible patients for medication on a pre-authorization, which could reduce cost further, the company told Reuters in statement.
Demand for GLP-1 agonists, a class of highly effective diabetes and obesity drugs, has surged in the last few years, with thousands of prescriptions being filled out every week in the United States.
The membership-only retail chain did not immediately respond to a Reuters request for additional comment. Costco had 130 million members as of Feb. 18, as per the company's website.
Sesame first partnered with Costco last September to offer outpatient medical care to its members.
In March, Costco missed expectations for second-quarter revenue, hurt by lower gasoline prices impact and soft discretionary spend from consumers.
Big-box retailers such as Amazon and Walmart have been offering healthcare services following the pandemic.
Amazon offers virtual primary care service for Prime members through One Medical, which it bought in 2022.
Walmart runs primary care centers at its stores and its membership warehouse club retail chain, Sam's Club, sells GLP-1 drugs through its pharmacies.
(Reporting by Juveria Tabassum; Additional reporting by Savyata Mishra; Editing by Sriraj Kalluvila)",https://finance.yahoo.com/news/costco-offering-members-access-weight-150032742.html,1 star,0.3650766909122467
