date,1. open,2. high,3. low,4. close,5. volume,movement
2024-08-20,128.4,129.88,125.89,127.25,291991138.0,Down
2024-08-19,124.28,130.0,123.42,130.0,318333577.0,Up
2024-08-16,121.94,125.0,121.18,124.58,302589872.0,Up
2024-08-15,118.76,123.24,117.47,122.86,318086673.0,Up
2024-08-14,118.53,118.6,114.07,118.08,339246407.0,Down
2024-08-13,112.44,116.23,111.58,116.14,312646660.0,Up
2024-08-12,106.32,111.07,106.26,109.02,325559870.0,Up
2024-08-09,105.64,106.6,103.43,104.75,290844157.0,Down
2024-08-08,102.0,105.5,97.52,104.97,391910023.0,Up
2024-08-07,107.81,108.8,98.69,98.91,411440423.0,Down
2024-08-06,103.84,107.71,100.55,104.25,409012089.0,Up
2024-08-05,92.06,103.41,90.69,100.45,552842375.0,Up
2024-08-02,103.76,108.72,101.37,107.27,482027464.0,Up
2024-08-01,117.53,120.16,106.8104,109.21,523462326.0,Down
2024-07-31,112.9,118.34,110.88,117.02,473174182.0,Up
2024-07-30,111.52,111.99,102.54,103.73,486833274.0,Down
2024-07-29,113.69,116.28,111.3,111.59,248152068.0,Down
2024-07-26,116.19,116.2,111.58,113.06,293399073.0,Down
2024-07-25,113.04,116.63,106.3,112.28,460067019.0,Down
2024-07-24,119.17,119.95,113.44,114.25,327776884.0,Down
